Type_of_client;Age;Gender;Favorite_batter;Favorite_filling;Favorite_frosting;More_toppings;Topping_examples;Configuration;Frequency_of_buying;Occasion;Interest_in_seasonality;Seasonal_option;Product_type;Willingness_to_pay
;29.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Weekly;Celebration;Yes;Christmas;Slice;4.50 €
Adult;34.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;35.90 €
Adult;63.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Slice;Monthly;Celebration;Yes;Easter;Slice;1.00 €
Adult;51.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Edible flowers;Whole cake;Daily;Work event;No;None;Whole cake;16.50 €
Adult;29.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Monthly;Celebration;No;None;Wedding cake;86.40 €
Kid;5.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Weekly;Celebration;No;None;Cupcake;1.80 €
Adult;30.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Slice;Weekly;Celebration;No;;Slice;3.00 €
Adult;47.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Weekly;Celebration;No;None;Whole cake;33.90 €
Kid;12.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Fruits;Cupcake;Daily;Snack;Yes;Christmas;Cupcake;2.30 €
Adult;35.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;39.40 €
Adult;63.0;Feminine;Red Velvet;Dulce de leche;Ganache;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;88.80 €
Adult;49.0;Feminine;Red Velvet;Dulce de leche;Ganache;No;None;Slice;Monthly;Wedding;No;None;Slice;5.10 €
Kid;5.0;Feminine;Red Velvt;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Daily;Birthday;No;None;Cupcake;3.80 €
Adult;39.0;Masculine;Lemon;Lemon curd;Ganache;No;None;Wedding cake;Daily;Gathering;No;None;Wedding cake;59.90 €
Kid;8.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Sporadic;Celebration;No;None;Cupcake;3.40 €
Adult;26.0;Feminine;Carrot;Lemon curd;Chocolate glaze;No;None;Wedding cake;Weekly;Gathering;Yes;Halloween;Wedding cake;43.80 €
Adult;24.0;Feminine;Lemon;Dulce de leche;;Yes;Edible flowers;Wedding cake;Weekly;Work event;No;None;Wedding cake;67.10 €
Adult;60.0;Masculine;Carrot;Dulce de leche;Chocolate glaze;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;36.10 €
Kid;12.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Daily;Snack;Yes;Christmas;Cupcake;4.50 €
Adult;30.0;Feminine;Lemon;Dulce de leche;Ganache;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;34.70 €
Adult;38.0;Feminine;Lemon;Cream cheese;Ganache;Yes;Nuts;Whole cake;Daily;Wedding;No;None;Whole cake;28.20 €
Adult;43.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Whole cake;Daily;Work event;Yes;Halloween;Whole cake;36.60 €
Adult;37.0;Masculine;Lemon;Cream cheese;Ganache;;None;Whole cake;Daily;Wedding;No;None;Whole cake;29.90 €
Kid;5.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;;None;Slice;Weekly;Birthday;No;None;Slice;3.60 €
Kid;7.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;Yes;Nuts;Slice;Daily;Celebration;No;None;Slice;2.90 €
Adult;34.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Whole cake;Weekly;Celebration;No;;Whole cake;30.20 €
Adult;23.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Nuts;Slice;Weekly;Celebration;No;None;Slice;1.40 €
Adult;34.0;Feminine;Lemon;Dulce de leche;Ganache;Yes;Sprinkles;Slice;Weekly;Celebration;No;None;Slice;2.40 €
Kid;14.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;No;None;Cupcake;Weekly;Celebration;No;None;Cupcake;3.50 €
Adult;64.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Monthly;Wedding;Yes;Christmas;Wedding cake;84.00 €
Adult;37.0;Masculine;Carrot;Cream cheese;Ganache;Yes;Fruits;Wedding cake;Weekly;Wedding;Yes;Valentine's Day;Wedding cake;56.40 €
Kid;5.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Chocolate chips;Cupcake;Monthly;Work event;No;None;Wedding cake;2.50 €
Adult;54.0;Masculine;Red Velvet;Dulce de leche;Cream cheese frosting;Yes;Edible flowers;Whole cake;Weekly;Wedding;No;None;Whole cake;14.40 €
Adult;42.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;No;None;Slice;Daily;Work event;No;None;Slice;2.80 €
Adult;19.0;Masculine;;Cream cheese;;No;None;Whole cake;Daily;Gathering;No;None;Whole cake;11.60 €
Adult;44.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Gathering;No;None;Whole cake;27.70 €
Adult;44.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Weekly;Celebration;No;None;Slice;5.60 €
Adult;62.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Slice;Daily;Gathering;No;None;Slice;3.00 €
Kid;16.0;Masculine;Red Velvet;Strawberry jam;Buttercream;Yes;Fruits;Cupcake;Monthly;Birthday;No;None;Cupcake;5.70 €
Kid;17.0;Feminine;Red Velvet;Strawberry jam;Buttercream;No;None;Cupcake;Weekly;Celebration;No;None;Cupcake;2.20 €
Adult;54.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Daily;Work event;Yes;Valentine's Day;Whole cake;30.00 €
Kid;16.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Daily;Snack;Yes;Valentine's Day;Cupcake;5.10 €
Adult;24.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Celebration;No;None;Slice;2.50 €
Kid;8.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Sporadic;Snack;No;None;Cupcake;2.40 €
Adult;52.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Weekly;Gathering;Yes;Christmas;Slice;4.00 €
Kid;15.0;Masculine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Fruits;Cupcake;Daily;Birthday;Yes;Halloween;Cupcake;4.40 €
;65.0;Masculine;Lemon;Lemon curd;Chocolate glaze;No;None;Wedding cake;Weekly;Celebration;No;None;Wedding cake;48.90 €
Adult;45.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Wedding;No;None;Slice;2.10 €
Adult;36.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Daily;Wedding;Yes;Fall;Whole cake;35.40 €
Adult;59.0;Feminine;Carrot;Lemon curd;Chocolate glaze;No;None;Whole cake;Sporadic;Gathering;No;None;Whole cake;11.60 €
;7.0;Masculine;Chocolate;Chocolate ganache;Whipped cream;No;None;Slice;Daily;Snack;No;None;Slice;3.10 €
Kid;4.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Sporadic;Birthday;No;None;Cupcake;4.60 €
Adult;48.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;75.20 €
Adult;27.0;Feminine;Carrot;123;Cream cheese frosting;No;None;Wedding cake;Sporadic;Celebration;No;None;Wedding cake;73.80 €
Adult;53.0;Feminine;Lemon;Lemon curd;Ganache;No;None;Slice;Sporadic;Wedding;No;None;Slice;3.30 €
Kid;12.0;Masculine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Nuts;Slice;Sporadic;Birthday;No;None;Slice;1.30 €
;53.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Daily;Wedding;Yes;Fall;Wedding cake;79.40 €
Adult;-3.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Celebration;No;None;Slice;1.60 €
Kid;14.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Sporadic;Snack;No;None;Slice;1.60 €
Adult;39.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Slice;Sporadic;Work event;Yes;Halloween;Slice;4.40 €
Adult;34.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Whole cake;Monthly;Celebration;No;None;Whole cake;25.40 €
Adult;26.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;30.80 €
Adult;28.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Sporadic;Work event;No;None;Wedding cake;43.40 €
Kid;150.0;Fem;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Edible flowers;Cupcake;Daily;Celebration;No;None;Cupcake;4.70 €
Adult;58.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Work event;No;None;Slice;6.00 €
Adult;37.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Weekly;Work event;Yes;Easter;Slice;3.80 €
Kid;16.0;Feminine;Chocolate;Strawberry jam;Buttercream;No;None;Cupcake;Monthly;Celebration;No;None;Cupcake;2.20 €
Adult;58.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Wedding;Yes;Halloween;Slice;2.70 €
Adult;32.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Wedding cake;Weekly;Work event;No;None;Wedding cake;46.80 €
Adult;18.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Work event;Yes;Christmas;Whole cake;12.50 €
Kid;17.0;Masculine;Red Velvet;Strawberry jam;Whipped cream;No;None;Cupcake;Daily;Celebration;Yes;Fall;Cupcake;2.20 €
Adult;42.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;18.80 €
Adult;61.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;No;None;Slice;Sporadic;Work event;No;None;Slice;3.70 €
Adult;58.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Slice;Daily;Work event;No;None;Slice;2.90 €
Adult;30.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;22.20 €
Adult;60.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Monthly;Gathering;No;None;Wedding cake;54.50 €
Adult;48.0;Feminine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Fruits;Wedding cake;Daily;Celebration;No;None;Wedding cake;88.90 €
Adult;20.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Wedding cake;Monthly;Wedding;No;None;Wedding cake;75.10 €
Kid;12.0;Feminine;Red Velvet;Chocolate ganache;Whipped cream;No;None;Slice;Weekly;Celebration;No;None;Slice;3.10 €
Adult;50.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;No;None;Whole cake;17.60 €
Adult;49.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Slice;Daily;Gathering;No;None;Slice;3.30 €
Adult;52.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Slice;Daily;Celebration;No;None;Slice;1.00 €
Adult;50.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Whole cake;Daily;Work event;No;None;Whole cake;25.70 €
Adult;57.0;Feminine;;Dulce de leche;Ganache;;None;Slice;Monthly;Celebration;No;None;Slice;1.00 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;Yes;Edible flowers;Slice;Monthly;Celebration;Yes;Valentine's Day;Slice;1.10 €
Adult;25.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Wedding cake;Monthly;Gathering;No;None;Wedding cake;71.90 €
Adult;64.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;98.30 €
Kid;8.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;No;None;Cupcake;Weekly;Snack;No;None;Cupcake;1.40 €
Adult;20.0;Feminine;Lemon;Lemon curd;Ganache;No;None;Wedding cake;Sporadic;Work event;No;None;Wedding cake;89.10 €
Adult;44.0;Masculine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Wedding;No;None;Slice;4.30 €
Adult;41.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Slice;Monthly;Work event;No;None;Slice;4.40 €
Adult;;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Wedding cake;Monthly;Celebration;No;None;Wedding cake;57.40 €
Adult;34.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;Yes;Chocolate chips;Whole cake;Daily;Work event;Yes;Christmas;Whole cake;24.40 €
Adult;59.0;Masculine;Carrot;Cream cheese;Chocolate glaze;No;None;Slice;Monthly;Work event;No;None;Slice;2.20 €
Kid;14.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Monthly;Birthday;No;None;Cupcake;1.40 €
Adult;60.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;Yes;Christmas;Wedding cake;73.40 €
Kid;4.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Fruits;Cupcake;Monthly;Celebration;No;None;Cupcake;1.40 €
Kid;5.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Cupcake;Monthly;Snack;No;None;Cupcake;5.40 €
Kid;9.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Chocolate chips;Cupcake;Monthly;Celebration;No;None;Cupcake;3.70 €
Adult;32.0;Feminine;Lemonn;Lemon curd;Ganache;No;None;Wedding cake;Monthly;Gathering;No;None;Wedding cake;60.40 €
Adult;54.0;Feminine;Red Velvet;Cream cheese;Chocolate glaze;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;25.10 €
Adult;40.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Nuts;Wedding cake;Sporadic;Work event;No;None;Wedding cake;87.10 €
Kid;-3.0;Masculine;Chocolate;Chocolate ganache;Whipped cream;Yes;Sprinkles;Cupcake;Weekly;Snack;No;None;Cupcake;4.00 €
Adult;35.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;Yes;Chocolate chips;Wedding cake;Weekly;Celebration;No;None;Wedding cake;80.60 €
Adult;43.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Chocolate chips;Wedding cake;Weekly;Wedding;Yes;Fall;Wedding cake;81.20 €
Adult;54.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Whole cake;Weekly;Wedding;Yes;Christmas;Whole cake;10.30 €
Kid;8.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Cupcake;Monthly;Snack;Yes;Halloween;Cupcake;4.30 €
Adult;;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Nuts;Wedding cake;Weekly;Wedding;No;None;Wedding cake;98.30 €
Kid;5.0;Feminine;;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Cupcake;Daily;Celebration;No;None;Cupcake;3.00 €
Adult;52.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Wedding cake;Daily;Celebration;No;None;Wedding cake;95.00 €
Adult;51.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Monthly;Work event;No;None;Wedding cake;58.10 €
Adult;25.0;Masculine;Lemon;Dulce de leche;Ganache;Yes;Fruits;Wedding cake;Weekly;Work event;Yes;Easter;Wedding cake;82.00 €
Adult;48.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Slice;Daily;Gathering;No;None;Slice;2.80 €
Adult;45.0;Feminine;Lemon;Dulce de leche;Ganache;No;None;Whole cake;Weekly;Celebration;Yes;Fall;Whole cake;10.70 €
Kid;6.0;Feminine;Red Velvet;Strawberry jam;Buttercream;No;None;Cupcake;Weekly;Birthday;Yes;Easter;Cupcake;5.50 €
Adult;18.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;19.00 €
Adult;24.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;Yes;Christmas;Whole cake;19.80 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Weekly;Celebration;No;None;Slice;2.90 €
Adult;20.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Slice;Daily;Work event;No;None;Slice;2.80 €
Adult;42.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Celebration;No;None;Wedding cake;98.40 €
Adult;35.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Work event;No;None;Whole cake;18.70 €
Adult;65.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;90.90 €
Adult;23.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Nuts;Whole cake;Daily;Work event;Yes;Christmas;Whole cake;31.00 €
Adult;63.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Slice;Weekly;Celebration;No;None;Slice;3.10 €
Kid;12.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Daily;Celebration;Yes;Valentine's Day;Slice;2.80 €
Adult;56.0;Feminine;Red Velvet;Lemon curd;Ganache;No;None;Wedding cake;Monthly;Work event;No;None;Wedding cake;61.40 €
Adult;54.0;Masculine;Red Velvet;Lemon curd;Ganache;No;None;Slice;Weekly;Gathering;No;None;Slice;4.30 €
Adult;56.0;Feminine;Red Velvet;Lemon curd;Ganache;No;None;Wedding cake;Sporadic;Celebration;Yes;Fall;Wedding cake;77.00 €
Adult;33.0;Masculine;Red Velvet;Dulce de leche;Ganache;No;None;Slice;Daily;Work event;Yes;Halloween;Slice;5.80 €
Adult;22.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Fruits;Wedding cake;Weekly;Work event;Yes;Halloween;Wedding cake;98.60 €
Kid;15.0;Masculine;Red Velvet;Chocolate ganache;Whipped cream;No;None;Slice;Weekly;Birthday;Yes;Valentine's Day;Slice;2.00 €
Adult;41.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;35.70 €
Adult;56.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Celebration;No;None;Slice;2.30 €
Adult;47.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;39.70 €
Adult;23.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;39.10 €
Adult;22.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;17.10 €
Adult;29.0;Masculine;Carrot;Dulce de leche;Chocolate glaze;No;None;Slice;Sporadic;Celebration;No;None;Slice;3.80 €
Adult;61.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;Yes;Sprinkles;Whole cake;Weekly;Celebration;No;None;Whole cake;26.20 €
Adult;58.0;Feminine;Carrot;Cream cheese;Chocolate glaze;No;None;Whole cake;Daily;Work event;No;None;Whole cake;31.50 €
Adult;51.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Daily;Wedding;No;None;Wedding cake;86.80 €
;29.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;24.20 €
Adult;63.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Monthly;Wedding;No;None;Wedding cake;59.20 €
Kid;4.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Chocolate chips;Cupcake;Weekly;Birthday;Yes;Valentine's Day;Cupcake;4.50 €
Adult;27.0;Masculine;Carrot;Dulce de leche;Ganache;No;None;Wedding cake;Daily;Gathering;Yes;Easter;Wedding cake;50.70 €
Adult;23.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Sporadic;Wedding;No;None;Wedding cake;71.60 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Weekly;Snack;No;None;Slice;5.10 €
Adult;47.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Whole cake;Monthly;Wedding;No;None;Whole cake;23.30 €
Kid;5.0;Masculine;Chocolate;Chocolate ganache;Whipped cream;Yes;Sprinkles;Slice;Monthly;Birthday;No;None;Slice;2.40 €
Adult;22.0;Feminine;Carrot;Dulce de leche;Ganache;No;None;Slice;Daily;Wedding;Yes;Easter;Slice;4.80 €
Kid;12.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Fruits;Cupcake;Daily;Snack;Yes;Halloween;Cupcake;3.00 €
Kid;7.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;Yes;Nuts;Slice;Daily;Birthday;No;None;Slice;2.70 €
Kid;9.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Fruits;Slice;Weekly;Snack;No;None;Slice;5.50 €
Kid;6.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Sprinkles;Slice;Monthly;Snack;Yes;Easter;Slice;4.70 €
Kid;5.0;Masculine;Chocolate;Chocolate ganache;Whipped cream;Yes;Nuts;Cupcake;Daily;Snack;No;None;Cupcake;2.30 €
Adult;18.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;25.50 €
Kid;7.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Sprinkles;Slice;Monthly;Birthday;No;None;Slice;3.40 €
Adult;39.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Whole cake;Daily;Wedding;Yes;Halloween;Whole cake;26.50 €
Adult;62.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Wedding cake;Daily;Gathering;No;None;Wedding cake;87.00 €
Kid;8.0;Feminine;Chocolate;Strawberry jam;Buttercream;No;None;Cupcake;Daily;Snack;No;None;Cupcake;3.90 €
Adult;32.0;Masculine;Carrot;Cream cheese;Chocolate glaze;No;None;Wedding cake;Daily;Gathering;No;None;Wedding cake;61.30 €
Kid;16.0;Masculine;Red Velvet;Chocolate ganache;Whipped cream;Yes;Sprinkles;Slice;Weekly;Celebration;No;None;Slice;1.10 €
Kid;17.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Chocolate chips;Cupcake;Weekly;Birthday;No;None;Cupcake;2.20 €
Adult;63.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;24.30 €
Adult;29.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Gathering;No;None;Slice;5.30 €
Adult;39.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Monthly;Wedding;No;None;Wedding cake;80.80 €
Adult;21.0;Masculine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Weekly;Celebration;Yes;Easter;Wedding cake;68.80 €
Kid;9.0;Masculine;Chocolate;Chocolate ganache;Whipped cream;Yes;Edible flowers;Cupcake;Weekly;Snack;No;None;Cupcake;2.10 €
Adult;19.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Wedding cake;Daily;Wedding;No;None;Wedding cake;88.00 €
Adult;21.0;Feminine;Carrot;Dulce de leche;Chocolate glaze;Yes;Chocolate chips;Slice;Monthly;Gathering;No;;Slice;5.60 €
Adult;64.0;Feminine;Carrot;Cream cheese;Ganache;Yes;Chocolate chips;Slice;Weekly;Celebration;Yes;Halloween;Slice;1.80 €
Adult;64.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Nuts;Slice;Daily;Gathering;Yes;Valentine's Day;Slice;3.00 €
Adult;28.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Edible flowers;Whole cake;Monthly;Wedding;No;;Whole cake;12.20 €
Adult;22.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;Yes;Halloween;Whole cake;22.10 €
Adult;37.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Slice;Sporadic;Wedding;No;None;Slice;2.60 €
Kid;9.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Weekly;Celebration;No;None;Cupcake;3.60 €
Kid;17.0;Masculine;Chocolate;Chocolate ganache;Buttercream;No;None;Slice;Monthly;Snack;No;None;Slice;5.10 €
Kid;9.0;Feminine;;Chocolate ganache;Chocolate glaze;Yes;Nuts;Cupcake;Monthly;Birthday;Yes;Halloween;Cupcake;3.10 €
Adult;34.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Work event;Yes;Valentine's Day;Slice;5.70 €
Adult;31.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Work event;No;None;Slice;4.10 €
Adult;51.0;Feminine;Red Velvet;Cream cheese;Ganache;Yes;Nuts;Wedding cake;Sporadic;Gathering;Yes;Fall;Wedding cake;45.40 €
Adult;35.0;Feminine;Carrot;Lemon curd;Ganache;No;None;Whole cake;Daily;Celebration;Yes;Valentine's Day;Whole cake;22.00 €
Kid;11.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Sprinkles;Slice;Daily;Celebration;Yes;Easter;Slice;4.40 €
Adult;45.0;Masculine;Red Velvet;Dulce de leche;;No;None;Whole cake;Monthly;Wedding;No;None;Whole cake;30.90 €
Adult;42.0;Feminine;Lemon;Lemon curd;Chocolate glaze;No;None;Wedding cake;Sporadic;Work event;No;None;Wedding cake;71.10 €
Adult;28.0;Feminine;Red Velvet;Cream cheese;Ganache;Yes;Fruits;Wedding cake;Monthly;Work event;Yes;Fall;Wedding cake;58.80 €
Adult;40.0;Feminine;Lemon;Lemon curd;Ganache;No;None;Slice;Monthly;Work event;No;None;Slice;5.20 €
Adult;56.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;Yes;Halloween;Whole cake;31.10 €
Adult;39.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Whole cake;Weekly;Work event;No;None;Whole cake;32.20 €
Adult;26.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Sprinkles;Wedding cake;Monthly;Work event;No;None;Wedding cake;80.50 €
Adult;50.0;Masculine;Lemon;Cream cheese;Chocolate glaze;Yes;Edible flowers;Whole cake;Weekly;Gathering;No;None;Whole cake;12.20 €
Kid;4.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Daily;Celebration;Yes;Valentine's Day;Slice;5.10 €
